Helyszín;172.16.0.0;;
Számítógép;172.16.0.1;172.16.0.1;
Számítógép;172.16.0.2;172.16.0.2;
Számítógép;172.16.0.3;172.16.0.3;
Számítógép;172.16.0.4;172.16.0.4;
Számítógép;172.16.0.5;172.16.0.5;
Számítógép;172.16.0.6;172.16.0.6;
Számítógép;172.16.0.7;172.16.0.7;
Számítógép;172.16.0.8;172.16.0.8;
Számítógép;172.16.0.9;172.16.0.9;
Számítógép;172.16.0.10;172.16.0.10;
Számítógép;172.16.0.11;172.16.0.11;
Számítógép;172.16.0.12;172.16.0.12;
Számítógép;172.16.0.13;172.16.0.13;
Számítógép;172.16.0.14;172.16.0.14;
Számítógép;172.16.0.15;172.16.0.15;
Számítógép;172.16.0.16;172.16.0.16;
Számítógép;172.16.0.17;172.16.0.17;
Számítógép;172.16.0.18;172.16.0.18;
Számítógép;172.16.0.19;172.16.0.19;
Számítógép;172.16.0.20;172.16.0.20;
Számítógép;172.16.0.21;172.16.0.21;
Számítógép;172.16.0.22;172.16.0.22;
Számítógép;172.16.0.23;172.16.0.23;
Számítógép;172.16.0.24;172.16.0.24;
Számítógép;172.16.0.25;172.16.0.25;
Számítógép;172.16.0.26;172.16.0.26;
Számítógép;172.16.0.27;172.16.0.27;
Számítógép;172.16.0.28;172.16.0.28;
Számítógép;172.16.0.29;172.16.0.29;
Számítógép;172.16.0.30;172.16.0.30;
Számítógép;172.16.0.31;172.16.0.31;
Számítógép;172.16.0.32;172.16.0.32;
Számítógép;172.16.0.33;172.16.0.33;
Számítógép;172.16.0.34;172.16.0.34;
Számítógép;172.16.0.35;172.16.0.35;
Számítógép;172.16.0.36;172.16.0.36;
Számítógép;172.16.0.37;172.16.0.37;
Számítógép;172.16.0.38;172.16.0.38;
Számítógép;172.16.0.39;172.16.0.39;
Számítógép;172.16.0.40;172.16.0.40;
Számítógép;172.16.0.41;172.16.0.41;
Számítógép;172.16.0.42;172.16.0.42;
Számítógép;172.16.0.43;172.16.0.43;
Számítógép;172.16.0.44;172.16.0.44;
Számítógép;172.16.0.45;172.16.0.45;
Számítógép;172.16.0.46;172.16.0.46;
Számítógép;172.16.0.47;172.16.0.47;
Számítógép;172.16.0.48;172.16.0.48;
Számítógép;172.16.0.49;172.16.0.49;
Számítógép;172.16.0.50;172.16.0.50;
Helyszín;172.16.1.0;;
